char1Label,char1TypeLabelSample,relationLabel,char2Label,char2TypeLabelSample
Hera,Olympian god,sibling,Hades,Greek deity
Demeter,Greek deity,sibling,Hades,Greek deity
Poseidon,Olympian god,sibling,Hades,Greek deity
Hestia,household deity,sibling,Hades,Greek deity
Zeus,Olympian god,sibling,Hestia,household deity
Hera,Olympian god,sibling,Hestia,household deity
Demeter,Greek deity,sibling,Hestia,household deity
Poseidon,Olympian god,sibling,Hestia,household deity
Hades,Olympian god,sibling,Hestia,household deity
Eris,Greek deity,sibling,Ares,Greek deity
Hephaestus,Greek deity,sibling,Ares,Greek deity
Zeus,Olympian god,sibling,Poseidon,Olympian god
Hera,Olympian god,sibling,Poseidon,Olympian god
Demeter,Greek deity,sibling,Poseidon,Olympian god
Hades,Olympian god,sibling,Poseidon,Olympian god
Hestia,household deity,sibling,Poseidon,Olympian god
Zeus,Olympian god,sibling,Hades,Olympian god
Hera,Olympian god,sibling,Zeus,Olympian god
Demeter,Greek deity,sibling,Zeus,Olympian god
Poseidon,Olympian god,sibling,Zeus,Olympian god
Hades,Olympian god,sibling,Zeus,Olympian god
Hestia,household deity,sibling,Zeus,Olympian god
Artemis,Olympian god,sibling,Apollo,Greek deity
Zeus,Olympian god,sibling,Hera,Olympian god
Demeter,Greek deity,sibling,Hera,Olympian god
Poseidon,Olympian god,sibling,Hera,Olympian god
Hades,Olympian god,sibling,Hera,Olympian god
Hestia,household deity,sibling,Hera,Olympian god
Apollo,Greek deity,sibling,Artemis,Olympian god
Zeus,Olympian god,sibling,Demeter,Greek deity
Hera,Olympian god,sibling,Demeter,Greek deity
Poseidon,Olympian god,sibling,Demeter,Greek deity
Hades,Olympian god,sibling,Demeter,Greek deity
Hestia,household deity,sibling,Demeter,Greek deity
Phosphorus,personification,sibling,Hesperus,Greek deity
Deimos,Greek deity,sibling,Phobos,Greek deity
Phobos,Greek deity,sibling,Deimos,Greek deity
Himeros,Greek deity,sibling,Eros,fertility deity
Pothos,mythological Greek character,sibling,Eros,fertility deity
Anteros,Greek deity,sibling,Eros,fertility deity
Helios,solar deity,sibling,Selene,goddess
Eos,Greek deity,sibling,Selene,goddess
Selene,goddess,sibling,Helios,solar deity
Eos,Greek deity,sibling,Helios,solar deity
Ares,Greek deity,sibling,Eris,Greek deity
Zelus,Greek deity,sibling,Nike,goddess
Bia,Greek deity,sibling,Nike,goddess
Kratos,Greek deity,sibling,Nike,goddess
Telesphorus,Greek deity,sibling,Hygieia,Greek deity
Aegle,Greek deity,sibling,Hygieia,Greek deity
Aceso,mythological Greek character,sibling,Hygieia,Greek deity
Panacea,Greek deity,sibling,Hygieia,Greek deity
Selene,goddess,sibling,Eos,Greek deity
Helios,solar deity,sibling,Eos,Greek deity
Nike,goddess,sibling,Zelus,Greek deity
Bia,Greek deity,sibling,Zelus,Greek deity
Kratos,Greek deity,sibling,Zelus,Greek deity
Dike,allegorical Greek deity,sibling,Eirene,Greek deity
Eunomia,Greek deity,sibling,Eirene,Greek deity
Nike,goddess,sibling,Bia,Greek deity
Zelus,Greek deity,sibling,Bia,Greek deity
Kratos,Greek deity,sibling,Bia,Greek deity
Nike,goddess,sibling,Kratos,Greek deity
Zelus,Greek deity,sibling,Kratos,Greek deity
Bia,Greek deity,sibling,Kratos,Greek deity
Eirene,Greek deity,sibling,Dike,allegorical Greek deity
Eunomia,Greek deity,sibling,Dike,allegorical Greek deity
Eros,fertility deity,sibling,Anteros,Greek deity
Himeros,Greek deity,sibling,Anteros,Greek deity
Pothos,mythological Greek character,sibling,Anteros,Greek deity
Telesphorus,Greek deity,sibling,Aceso,mythological Greek character
Hygieia,Greek deity,sibling,Aceso,mythological Greek character
Aegle,Greek deity,sibling,Aceso,mythological Greek character
Panacea,Greek deity,sibling,Aceso,mythological Greek character
Thallo,mythological Greek character,sibling,Carpo,Greek deity
Thalia,Greek deity,sibling,Euphrosyne,Greek deity
Aglaea,Greek deity,sibling,Euphrosyne,Greek deity
Clotho,Greek deity,sibling,Atropos,Greek deity
Lachesis,Greek deity,sibling,Atropos,Greek deity
Atropos,Greek deity,sibling,Clotho,Greek deity
Lachesis,Greek deity,sibling,Clotho,Greek deity
Telesphorus,Greek deity,sibling,Panacea,Greek deity
Hygieia,Greek deity,sibling,Panacea,Greek deity
Aegle,Greek deity,sibling,Panacea,Greek deity
Aceso,mythological Greek character,sibling,Panacea,Greek deity
Atropos,Greek deity,sibling,Lachesis,Greek deity
Clotho,Greek deity,sibling,Lachesis,Greek deity
Eirene,Greek deity,sibling,Eunomia,Greek deity
Dike,allegorical Greek deity,sibling,Eunomia,Greek deity
Persephone,Greek deity,sibling,Despoina,Greek deity
Hygieia,Greek deity,sibling,Telesphorus,Greek deity
Aegle,Greek deity,sibling,Telesphorus,Greek deity
Aceso,mythological Greek character,sibling,Telesphorus,Greek deity
Panacea,Greek deity,sibling,Telesphorus,Greek deity
Carpo,Greek deity,sibling,Thallo,mythological Greek character
Aglaea,Greek deity,sibling,Thalia,Greek deity
Euphrosyne,Greek deity,sibling,Thalia,Greek deity
Eros,fertility deity,sibling,Himeros,Greek deity
Pothos,mythological Greek character,sibling,Himeros,Greek deity
Anteros,Greek deity,sibling,Himeros,Greek deity
Eros,fertility deity,sibling,Pothos,mythological Greek character
Himeros,Greek deity,sibling,Pothos,mythological Greek character
Anteros,Greek deity,sibling,Pothos,mythological Greek character
