char1Label,char1Type,relationLabel,char2Label,char2Type
Corcyra,Greek nymph,father,Asopus,Potamoi
Euboea,naiad,father,Asopus,Potamoi
Sinope,naiad,father,Asopus,Potamoi
Nemea,naiad,father,Asopus,Potamoi
Salamis,Greek nymph,father,Asopus,Potamoi
Harpina,Greek nymph,father,Asopus,Potamoi
Combe,Greek nymph,father,Asopus,Potamoi
Pirene,naiad,father,Asopus,Potamoi
Chalcis,Greek nymph,father,Asopus,Potamoi
Oeroe,Greek nymph,father,Asopus,Potamoi
Ornea,Greek nymph,father,Asopus,Potamoi
Plataea,naiad,father,Asopus,Potamoi
Thespia,Greek nymph,father,Asopus,Potamoi
Thyia,naiad,father,Cephissus,Greek water deities
Melaena,Greek nymph,father,Cephissus,Greek water deities
Astyoche,Greek nymph,father,Simoeis,Potamoi
Hieromneme,Greek water deities,father,Simoeis,Potamoi
Borysthenis,Greek nymph,father,Borysthenes,river
Evadne,naiad,father,Strymon,Potamoi
Tereine,Greek nymph,father,Strymon,Potamoi
Asterodeia,Greek nymph,father,Phasis,Potamoi
Daphne,naiad,father,Ladon,Potamoi
Metope,naiad,father,Ladon,Potamoi
Thelpusa,Greek nymph,father,Ladon,Potamoi
Alexirrhoe,Greek nymph,father,Granicus,Potamoi
Pegasis,naiad,father,Granicus,Potamoi
Cnossia,naiad,father,Amnisus,Potamoi
Aganippe,Greek nymph,father,Termessus,Potamoi
Eupheme,Greek nymph,father,Termessus,Potamoi
Thisbe,Greek nymph,father,Termessus,Potamoi
Abarbarea,naiad,father,Aesepus,Potamoi
Strophia,naiad,father,Ismenus,Potamoi
Dercetis,Greek nymph,father,Ismenus,Potamoi
Ismenis,naiad,father,Ismenus,Potamoi
Minthe,Greek nymph,father,Cocytus,Potamoi
Limnaee,naiad,father,Ganges,Potamoi
Polyxo,naiad,father,Nilus,Potamoi
Caliadne,naiad,father,Nilus,Potamoi
Anchiroe,naiad,father,Nilus,Potamoi
Chione,Greek nymph,father,Nilus,Potamoi
Anippe,naiad,father,Nilus,Potamoi
Phoroneus,Potamoi,father,Inachus,Potamoi
Danais,Greek nymph,father,Alpheus,Potamoi
Myrtoessa,naiad,father,Alpheus,Potamoi
Nana,Greek nymph,father,Sangarius,Potamoi
Ocyrhoe,Greek nymph,father,Sangarius,Potamoi
Daphne,naiad,father,Peneus,Potamoi
Orseis,naiad,father,Peneus,Potamoi
Stilbe,naiad,father,Peneus,Potamoi
Tiasa,naiad,father,Eurotas,Potamoi
Oenone,naiad,father,Cebren,Potamoi
Hesperia,Greek nymph,father,Cebren,Potamoi
Castalia,naiad,father,Cephissus,Potamoi
Lilaea,naiad,father,Cephissus,Potamoi
Sagaritis,Hamadryad,father,Sangarius,Potamoi
Dexithea,Telchines,father,Damon,Telchines
Rhesus of Thrace,mythological Greek character,father,Strymon,Potamoi
Syrinx,Hamadryad,father,Ladon,Potamoi
Istrus,personification,father,Oceanus,titan
Cephissus,Potamoi,father,Oceanus,titan
Euphrates,Potamoi,father,Oceanus,titan
Kytheros,Greek water deities,father,Oceanus,titan
Pleistos,Greek water deities,father,Oceanus,titan
Ilissos,Greek water deities,father,Oceanus,titan
Amalthea,Okeanid,father,Oceanus,titan
Nemesis,Okeanid,father,Oceanus,titan
Metis,Okeanid,father,Oceanus,titan
